time,ce_oi,pe_oi,diff,pcr,ce_oi_avg,pe_oi_avg,diff_10_avg
09:09:50,,,,,,,
09:14:50,,,,,,,
09:19:50,4845525.0,4004850.0,-840675.0,0.83,4845525.0,4004850.0,-840675.0
09:24:50,7450275.0,6216900.0,-1233375.0,0.83,6147900.0,5110875.0,-1037025.0
09:29:50,11866275.0,9315675.0,-2550600.0,0.79,8054025.0,6512475.0,-1541550.0
09:34:50,15560625.0,11656425.0,-3904200.0,0.75,9930675.0,7798462.5,-2132212.5
09:39:50,16839225.0,12345750.0,-4493475.0,0.73,11312385.0,8707920.0,-2604465.0
09:44:50,19481025.0,12730575.0,-6750450.0,0.65,12673825.0,9378362.5,-3295462.5
09:49:50,21483225.0,14075925.0,-7407300.0,0.66,13932310.714285715,10049442.857142856,-3882867.8571428573
09:54:50,21941775.0,14289000.0,-7652775.0,0.65,14933493.75,10579387.5,-4354106.25
09:59:50,22654200.0,15966900.0,-6687300.0,0.7,15791350.0,11178000.0,-4613350.0
10:04:50,23595375.0,15681600.0,-7913775.0,0.66,16571752.5,11628360.0,-4943392.5
10:09:50,24002775.0,16622775.0,-7380000.0,0.69,17247300.0,12082397.727272727,-5164902.2727272725
10:14:50,22769175.0,17530875.0,-5238300.0,0.77,17707456.25,12536437.5,-5171018.75
10:19:50,21291150.0,18341325.0,-2949825.0,0.86,17983125.0,12982967.307692308,-5000157.692307692
10:24:50,21862350.0,18983550.0,-2878800.0,0.87,18260212.5,13411580.357142856,-4848632.142857143
10:29:50,21585450.0,19526850.0,-2058600.0,0.9,18481895.0,13819265.0,-4662630.0
10:34:50,23007375.0,19469025.0,-3538350.0,0.85,18764737.5,14172375.0,-4592362.5
10:39:50,23273475.0,19587450.0,-3686025.0,0.84,19029957.352941178,14490908.823529411,-4539048.529411765
10:44:50,24397125.0,19519875.0,-4877250.0,0.8,19328133.333333332,14770295.833333334,-4557837.5
10:49:50,25053975.0,18875250.0,-6178725.0,0.75,19629493.42105263,14986346.05263158,-4643147.368421053
10:54:50,25018425.0,18806700.0,-6211725.0,0.75,19898940.0,15177363.75,-4721576.25
10:59:50,24731400.0,18833700.0,-5897700.0,0.76,20129057.14285714,15351475.0,-4777582.142857143
11:04:50,24304875.0,18941550.0,-5363325.0,0.78,20318867.045454547,15514660.227272727,-4804206.818181818
11:09:50,24753375.0,18962175.0,-5791200.0,0.77,20511671.739130434,15664552.173913043,-4847119.565217392
11:14:50,24177075.0,18971175.0,-5205900.0,0.78,20664396.875,15802328.125,-4862068.75
11:19:50,24645750.0,19010175.0,-5635575.0,0.77,20823651.0,15930642.0,-4893009.0
11:24:50,25022175.0,18987900.0,-6034275.0,0.76,20985132.692307692,16048228.846153846,-4936903.846153846
11:29:50,26127675.0,18852975.0,-7274700.0,0.72,21175597.222222224,16152108.333333334,-5023488.888888889
11:34:50,26374725.0,19037325.0,-7337400.0,0.72,21361280.35714286,16255151.785714285,-5106128.571428572
11:39:50,26503350.0,18899700.0,-7603650.0,0.71,21538593.103448275,16346343.103448275,-5192250.0
11:44:50,27204000.0,18954750.0,-8249250.0,0.7,21727440.0,16433290.0,-5294150.0
11:49:50,27517050.0,18986325.0,-8530725.0,0.69,21914201.612903226,16515645.967741935,-5398555.645161291
11:54:50,28585875.0,18565350.0,-10020525.0,0.65,22122691.40625,16579699.21875,-5542992.1875
11:59:50,31083300.0,18836250.0,-12247050.0,0.61,22394225.0,16648079.545454545,-5746145.454545454
12:04:50,32268225.0,17596425.0,-14671800.0,0.55,22684636.76470588,16675972.05882353,-6008664.705882353
12:09:50,32862300.0,17473500.0,-15388800.0,0.53,22975427.14285714,16698758.57142857,-6276668.571428572
12:14:50,31790475.0,18236100.0,-13554375.0,0.57,23220289.583333332,16741462.5,-6478827.083333333
12:19:50,32780250.0,18147675.0,-14632575.0,0.55,23478666.891891893,16779468.243243244,-6699198.6486486485
12:24:50,33965175.0,17881125.0,-16084050.0,0.53,23754627.63157895,16808459.210526317,-6946168.421052632
12:29:50,33623775.0,18804975.0,-14818800.0,0.56,24007682.692307692,16859651.923076924,-7148030.769230769
12:34:50,33326850.0,19646925.0,-13679925.0,0.59,24240661.875,16929333.75,-7311328.125
12:39:50,33649800.0,20163300.0,-13486500.0,0.6,24470153.048780486,17008210.975609757,-7461942.073170732
12:44:50,34144500.0,20429400.0,-13715100.0,0.6,24700494.64285714,17089667.85714286,-7610826.785714285
12:49:50,34349175.0,20486400.0,-13862775.0,0.6,24924882.558139537,17168661.627906978,-7756220.930232558
12:54:50,35111250.0,20007375.0,-15103875.0,0.57,25156390.90909091,17233177.84090909,-7923213.068181818
12:59:50,35598750.0,20580675.0,-15018075.0,0.58,25388443.333333332,17307566.666666668,-8080876.666666667
13:04:50,35407275.0,20982525.0,-14424750.0,0.59,25606244.02173913,17387457.06521739,-8218786.956521739
13:09:50,35335875.0,20818575.0,-14517300.0,0.59,25813257.44680851,17460459.574468084,-8352797.872340426
13:14:50,35355150.0,20309850.0,-15045300.0,0.57,26012046.875,17519821.875,-8492225.0
13:19:50,36120000.0,20258325.0,-15861675.0,0.56,26218331.63265306,17575709.69387755,-8642621.93877551
13:24:50,36467775.0,19862700.0,-16605075.0,0.54,26423320.5,17621449.5,-8801871.0
13:29:50,36105750.0,20229900.0,-15875850.0,0.56,26613172.05882353,17672595.588235293,-8940576.470588235
13:34:50,36656625.0,20213925.0,-16442700.0,0.55,26806315.384615384,17721467.307692308,-9084848.076923076
13:39:50,36587775.0,20501400.0,-16086375.0,0.56,26990871.226415094,17773918.86792453,-9216952.358490566
13:44:50,37165575.0,20348700.0,-16816875.0,0.55,27179291.666666668,17821600.0,-9357691.666666666
13:49:50,36557475.0,20327700.0,-16229775.0,0.56,27349804.09090909,17867165.454545453,-9482638.636363637
13:54:50,36185475.0,20299425.0,-15886050.0,0.56,27507583.92857143,17910598.660714287,-9596985.267857144
13:59:50,36894450.0,19968075.0,-16926375.0,0.54,27672265.789473683,17946694.736842107,-9725571.05263158
14:04:50,37563450.0,18758400.0,-18805050.0,0.5,27842803.44827586,17960689.655172415,-9882113.793103449
14:09:50,37747875.0,17127075.0,-20620800.0,0.45,28010686.01694915,17946560.59322034,-10064125.423728814
14:14:50,38609850.0,15687150.0,-22922700.0,0.41,28187338.75,17908903.75,-10278435.0
14:19:50,39474450.0,15841650.0,-23632800.0,0.4,28372373.360655736,17875014.344262294,-10497359.016393442
14:24:50,38302050.0,16673325.0,-21628725.0,0.44,28532529.43548387,17855632.258064516,-10676897.177419355
14:29:50,,,,,,,
14:34:50,,,,,,,
14:39:50,,,,,,,
14:44:50,,,,,,,
14:49:50,,,,,,,
14:54:50,,,,,,,
14:59:50,,,,,,,
15:04:50,,,,,,,
15:09:50,,,,,,,
15:14:50,,,,,,,
15:19:50,,,,,,,
15:24:50,,,,,,,
15:29:50,,,,,,,
15:34:50,,,,,,,
